ID,filename,calendar_date,bodylocation,N valid hours,N hours,weekday,measurementday,L5hr_ENMO_mg_0-24hr,L5_ENMO_mg_0-24hr,M5hr_ENMO_mg_0-24hr,M5_ENMO_mg_0-24hr,mean_ENMO_mg_1-6am,mean_ENMO_mg_0-24hr,MVPA_E5S_T100_ENMO_0-24hr,MVPA_E1M_T100_ENMO_0-24hr,MVPA_E5M_T100_ENMO_0-24hr,MVPA_E5S_B1M80%_T100_ENMO_0-24hr,MVPA_E5S_B5M80%_T100_ENMO_0-24hr,MVPA_E5S_B10M80%_T100_ENMO_0-24hr,L5hr_NeishabouriCount_x_mg_0-24hr,L5_NeishabouriCount_x_mg_0-24hr,M5hr_NeishabouriCount_x_mg_0-24hr,M5_NeishabouriCount_x_mg_0-24hr,mean_NeishabouriCount_x_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_x_0-24hr,MVPA_E1M_T100_NeishabouriCount_x_0-24hr,MVPA_E5M_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_x_0-24hr,L5hr_NeishabouriCount_y_mg_0-24hr,L5_NeishabouriCount_y_mg_0-24hr,M5hr_NeishabouriCount_y_mg_0-24hr,M5_NeishabouriCount_y_mg_0-24hr,mean_NeishabouriCount_y_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_y_0-24hr,MVPA_E1M_T100_NeishabouriCount_y_0-24hr,MVPA_E5M_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_y_0-24hr,L5hr_NeishabouriCount_z_mg_0-24hr,L5_NeishabouriCount_z_mg_0-24hr,M5hr_NeishabouriCount_z_mg_0-24hr,M5_NeishabouriCount_z_mg_0-24hr,mean_NeishabouriCount_z_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_z_0-24hr,MVPA_E1M_T100_NeishabouriCount_z_0-24hr,MVPA_E5M_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_z_0-24hr,L5hr_NeishabouriCount_vm_mg_0-24hr,L5_NeishabouriCount_vm_mg_0-24hr,M5hr_NeishabouriCount_vm_mg_0-24hr,M5_NeishabouriCount_vm_mg_0-24hr,mean_NeishabouriCount_vm_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_vm_0-24hr,MVPA_E1M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_vm_0-24hr,step_count_sum_0-24hr
Lup010,Lup010 back post.cwa,2022-11-15T00:00:00+0100,not extracted,24,24,Tuesday,4,24.667,1.912,6,44.277,1.917,21.766,51.417,38,30,31.333,29.667,31.333,23.167,194.167,6,58951.111,18.952,95.417,78,60,43.917,32.833,34,24.667,812.5,6,42702.778,16.323,93.333,40,15,11.083,0,0,23.333,1875.556,5.833,52757.222,21.606,135.333,96,65,49.917,34.167,34.25,24.833,0,5.833,1528.056,0.476,0,0,0,0,0,0,0
Lup010,Lup010 back post.cwa,2022-11-16T00:00:00+0100,not extracted,24,24,Wednesday,5,24.833,3.715,16.333,60.75,3.716,32.409,132.667,116,110,108,100.417,99,23.667,335.278,16.333,99285.833,39.582,189.833,179,170,131.333,108,110.667,23.667,968.611,6,50646.667,24.263,132.333,62,45,23.25,0,0,24,2490.833,16.5,73313.611,33.315,229.417,185,150,136.5,109.583,113.667,25,1.667,16.333,2550.278,0.954,0,0,0,0,0,0,0
Lup010,Lup010 back post.cwa,2022-11-17T00:00:00+0100,not extracted,6.25,24,Thursday,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup010,Lup010 back post.cwa,2022-11-18T00:00:00+0100,not extracted,0,24,Friday,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup010,Lup010 back post.cwa,2022-11-19T00:00:00+0100,not extracted,0,24,Saturday,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup010,Lup010 back post.cwa,2022-11-20T00:00:00+0100,not extracted,0,24,Sunday,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup010,Lup010 back post.cwa,2022-11-21T00:00:00+0100,not extracted,0,24,Monday,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup010,Lup010 back post.cwa,2022-11-22T00:00:00+0100,not extracted,0,5,Tuesday,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup020,Lup020 back post.cwa,2023-05-09T05:15:00+0200,not extracted,18.5,18.75,Tuesday,1,18.667,2.139,12.667,27.09,22.88,17.58,30,26,25,25.667,14,14,18.167,1010.278,12.667,29923.333,14.284,61.25,54,45,44.083,25.5,15.333,18.167,2024.167,2.833,27070.903,16.313,77.417,53,35,20.917,0,0,18.167,3111.111,2.833,30341.528,18.765,91.5,60,40,19.167,0,0,18.167,9.722,12.833,694.444,0.356,0,0,0,0,0,0,0
Lup020,Lup020 back post.cwa,2023-05-10T00:00:00+0200,not extracted,24,24,Wednesday,2,21.5,11.743,11.667,47.487,17.601,27.181,55.5,50,40,47.75,25.167,12.25,24.167,1924.444,11.667,56260.278,22.757,100.083,77,85,58.333,37.833,23.5,24,4643.056,14,64947.5,28.055,182.583,144,90,63.25,4.75,0,24,6371.111,14,65648.056,30.279,173.417,154,85,60.5,18.833,14.083,24.333,24.444,14,1630,0.576,0,0,0,0,0,0,0
Lup020,Lup020 back post.cwa,2023-05-11T00:00:00+0200,not extracted,23,24,Thursday,3,23,8.242,7,26.656,17.205,18.804,13.583,8,10,7.583,0,0,25.667,785.833,18.167,27427.222,10.398,50.25,26,15,11.667,9.917,0,25.667,1799.722,18.167,53797.778,18.495,117.333,101,75,35.5,0,0,25.667,3193.889,18.167,70336.389,24.014,119.75,133,110,31,5.083,0,25.833,5.556,18.167,515.556,0.206,0,0,0,0,0,0,0
Lup020,Lup020 back post.cwa,2023-05-12T00:00:00+0200,not extracted,16,24,Friday,4,22,14.25,11.5,37.12,22.254,24.215,36,30,25,26.917,14.917,10.25,24,4109.722,11.667,43948.704,19.541,87.833,75,55,58.333,33.333,18.083,24,8556.667,11.667,37982.5,24.906,112.667,83,45,37.75,6.167,0,24,10963.056,10.833,42331.389,28.748,145.917,107,65,45.5,10.417,13.75,24,73.333,11.667,1001.111,0.463,0,0,0,0,0,0,0
Lup020,Lup020 back post.cwa,2023-05-13T00:00:00+0200,not extracted,0,24,Saturday,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup020,Lup020 back post.cwa,2023-05-14T00:00:00+0200,not extracted,0,24,Sunday,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup020,Lup020 back post.cwa,2023-05-15T00:00:00+0200,not extracted,0,24,Monday,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup020,Lup020 back post.cwa,2023-05-16T00:00:00+0200,not extracted,0,24,Tuesday,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup020,Lup020 back post.cwa,2023-05-17T00:00:00+0200,not extracted,0,11.75,Wednesday,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup025,Lup025 back post.cwa,2023-06-10T05:15:00+0200,not extracted,18.75,18.75,Saturday,1,29.167,4.188,10.333,15.469,12.633,10.147,17.083,6,0,2.25,0,0,29.167,2698.111,10.333,25345.556,12.38,54,38,15,12.333,0,0,29.167,5187.944,10.167,33327.5,17.551,85.833,75,25,27.417,0,0,29.167,4876.5,10.333,31271.111,17.837,87.417,60,25,30,5,0,29.167,32.778,10.333,511.667,0.31,0,0,0,0,0,0,0
Lup025,Lup025 back post.cwa,2023-06-11T00:00:00+0200,not extracted,22.75,24,Sunday,2,23.333,3.236,18.333,16.057,6.73,10.831,18.583,9,0,8.75,0,0,23.333,235.324,10.167,20192.222,8.87,44,24,15,14.167,0,0,23.333,732.87,13.333,33231.389,16.281,108.25,70,20,25.75,0,0,23.5,1103.449,10.333,27250.278,14.375,90.417,44,15,22.75,9.25,0,24.5,0.208,13.333,648.056,0.304,0,0,0,0,0,0,0
Lup025,Lup025 back post.cwa,2023-06-12T00:00:00+0200,not extracted,24,24,Monday,3,24,2.878,5.667,28.477,3.679,10.294,37.667,32,30,31.833,32.583,32.583,24,218.889,8.667,37526.944,11.908,66.75,62,40,35.333,33.333,33.333,24,670,5.667,37410.556,15.164,104.25,98,50,58.5,35.583,39.167,24,426.389,5.667,40289.167,14.187,87.333,72,45,50.333,35.167,37.25,24.167,0,5.833,1063.889,0.289,0,0,0,0,0,0,0
Lup025,Lup025 back post.cwa,2023-06-13T00:00:00+0200,not extracted,22.75,24,Tuesday,4,25.167,6.862,20.167,26.726,7.007,14.002,16.667,10,10,9.417,8.5,0,23,119.907,11.667,19440.833,9.304,48.917,40,15,11.5,10.75,10.583,21.167,495.787,8.5,36963.056,17.039,106.083,97,65,48.833,6.583,10.833,23.333,539.769,7,31357.222,14.493,85.833,62,20,24.833,10.75,11.167,21.667,0,7,516.389,0.226,0,0,0,0,0,0,0
Lup025,Lup025 back post.cwa,2023-06-14T00:00:00+0200,not extracted,24,24,Wednesday,5,23,3.569,6.333,17.099,4.565,11.579,21.583,8,5,8.083,0,0,23.667,153.611,11,19395,10.082,50.667,31,10,13.667,7.083,0,23.667,656.389,9.5,49635,21.482,136.333,97,55,50.083,14,0,23.667,610,10.5,36203.056,18.261,110.917,62,15,32.5,8.25,0,22.833,0,6.5,808.611,0.335,0,0,0,0,0,0,0
Lup025,Lup025 back post.cwa,2023-06-15T00:00:00+0200,not extracted,8.25,24,Thursday,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup025,Lup025 back post.cwa,2023-06-16T00:00:00+0200,not extracted,0,24,Friday,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup025,Lup025 back post.cwa,2023-06-17T00:00:00+0200,not extracted,0,24,Saturday,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup025,Lup025 back post.cwa,2023-06-18T00:00:00+0200,not extracted,0,24,Sunday,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup025,Lup025 back post.cwa,2023-06-19T00:00:00+0200,not extracted,0,11.75,Monday,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup036,Lup036 back post.cwa,2023-12-20T05:15:00+0100,not extracted,18.5,18.75,Wednesday,1,19.5,3.201,7.667,25.212,8.419,9.405,27.917,13,0,11.5,6.083,0,19.667,2726,7.667,53318.889,16.766,72.083,53,45,22.833,17.75,0,20.833,9545.111,6.833,74137.222,29.14,159.5,141,85,46.333,5.583,0,19.667,5826.204,7.667,61756.389,21.683,102.583,74,60,34.167,19.667,0,20.667,18.648,7.667,1146.111,0.318,0,0,0,0,0,0,0
Lup036,Lup036 back post.cwa,2023-12-21T00:00:00+0100,not extracted,24,24,Thursday,2,24.5,1.69,8.167,7.56,2.097,4.924,1.917,0,0,0,0,0,24.5,837.222,8.167,16983.889,7.899,35,12,0,0,0,0,24.5,1961.111,8.167,43747.778,21.532,140.417,111,35,44.25,0,0,24.5,2861.389,8.167,23304.167,12.337,58.667,21,0,0,0,0,24.5,4.167,8.167,258.056,0.119,0,0,0,0,0,0,0
Lup036,Lup036 back post.cwa,2023-12-22T00:00:00+0100,not extracted,18.75,24,Friday,3,22.833,3.155,9,10.779,4.472,5.486,6.583,4,0,4,0,0,27.5,966.667,9,19465.833,7.255,30.667,13,10,7,5.417,0,27.5,1831.667,9,30823.889,15.825,86.083,66,15,17.167,0,0,25.167,2927.963,9,25239.722,11.499,53.917,17,5,8.5,5.417,0,27,4.167,9,375,0.116,0,0,0,0,0,0,0
Lup036,Lup036 back post.cwa,2023-12-23T00:00:00+0100,not extracted,24,24,Saturday,4,25,3.035,11.167,14.365,3.035,6.727,6.5,5,0,6.25,0,0,25,947.222,11.167,17919.167,7.289,37.333,16,15,9.5,12,0,25,1924.722,11.167,54631.944,21.965,145.167,130,100,58.5,43.583,35.083,25,3219.722,11.167,25387.778,12.482,59.917,35,25,9,5.75,0,25.667,5.556,11.167,485.556,0.147,0,0,0,0,0,0,0
Lup036,Lup036 back post.cwa,2023-12-24T00:00:00+0100,not extracted,12.75,16.5,Sunday,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup054,Lup054 back post.cwa,2024-03-29T05:15:00+0100,not extracted,16.25,17.5,Friday,1,24.667,0,8.333,14.523,0,7.405,4.583,2,0,2.083,0,0,25,0,8.5,24874.722,7.412,38.667,21,20,10.167,0,0,24.833,0,8.5,51110.556,18.423,125,104,70,52.667,6.417,0,24.833,0,9,39076.389,14.309,70.667,48,20,9.5,0,0,25.833,0,8.5,638.333,0.166,0,0,0,0,0,0,
Lup054,Lup054 back post.cwa,2024-03-29T22:45:00+0100,not extracted,0,0.25,Saturday,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
